Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Baker,Susan:SOCI-4325-001-POPULATION TRENDS & PROCESSES"	Mean	4.8182	4.8182	4.8182	4.6	4.7273	4.8182
	N	11	11	11	10	11	11
"Baldwin,Janice:MANA-3318-001-MANA ORG BEHAV"	Mean	4.5	5	5	5	4	5
	N	2	2	2	2	2	2
"Baldwin,Janice:MANA-3318-007-MANA ORG BEHAV"	Mean	4.1	3.5556	3.7	4.2	3.3333	3
	N	10	9	10	10	9	9
"Baldwin,Janice:MANA-3320-003-PER/HUM RES MGT"	Mean	4.3	3.8	3.7	4.6	4	3.9
	N	10	10	10	10	9	10
"Baldwin,Janice:MANA-3320-004-PER/HUM RES MGT"	Mean	4	3.6	3.6	3.8	3.6667	3.4
	N	5	5	5	5	3	5
"Baldwin,Janice:MANA-4320-001-LABOR RELATIONS"	Mean	3.6	3.4	3.75	4.25	3.75	3.75
	N	5	5	4	4	4	4
"Barasch,Linda:CSE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	3.9286	3.5714	3.6154	3.8571	4.0769	3.6923
	N	14	14	13	14	13	13
"Barasch,Linda:CSE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4.5263	3.8421	3.8421	4.4737	4.1111	4.1111
	N	19	19	19	19	18	18
"Barasch,Linda:CSE-1104-003-INTRODUCTION TO ENGINEERING"	Mean	3.6667	3.3333	3.3333	3.6667	4.3333	3.6667
	N	3	3	3	3	3	3
"Barasch,Linda:CSE-3315-001-THEORETICAL CONCEPTS CSE"	Mean	4.0714	4	4	4.6154	4.5455	4.2143
	N	14	14	14	13	11	14
"Barnard,Daryl:BCMN-2358-002-TELEVISION PRODUCTION I"	Mean	3.75	4	4	4	4	4
	N	4	4	4	4	4	4
"Barnes,Donelle:NURS-6305-001-QUALITATIVE RESEARCH"	Mean	4.8	4.8	4.8	4.8	4.8	4.8
	N	5	5	5	5	5	5
"Barnett,Tracey:SOCW-3317-001-DIVERSE POPULATIONS"	Mean	4.4444	4.5556	4.6667	4.7778	4.5556	4.3333
	N	9	9	9	9	9	9
"Barr,Wendy:NURS-5309-400-TEACHING/LEARNING STRATEGIES"	Mean	3.96	3.88	4.12	4.16	4.0435	3.9167
	N	25	25	25	25	23	24
"Barrett,Margaret:MUSI-1186-001-SIGHTSING & EAR TRAINING II"	Mean	4.75	4.75	4.5	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Barrett,Margaret:MUSI-1326-001-THEORY & HARMONY II"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Barrett,Margaret:MUSI-2186-002-SIGHTSING & EAR TRAINING IV"	Mean	4.8462	4.6923	4.9231	5	4.7692	4.8333
	N	13	13	13	13	13	12
"Barrett,Margaret:MUSI-2186-003-SIGHTSING & EAR TRAINING IV"	Mean	4.1429	4	4.4286	4.1429	4.4286	4.2857
	N	7	7	7	7	7	7
"Barrett,Rosa:SPAN-2314-002-INTERMEDIATE SPANISH II"	Mean	4.25	3.75	4.375	3.625	3.5714	4
	N	8	8	8	8	7	8
"Barrett,Rosa:SPAN-2314-004-INTERMEDIATE SPANISH II"	Mean	3.4	3.4	3.6	3.4	3.6	3.6
	N	5	5	5	5	5	5
"Barton,Larry:MUSI-1106-001-LOW BRASS CLASS"	Mean	4.5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Barton,Larry:MUSI-1107-001-WOODWIND II"	Mean	4	2.6667	4	4	2	3.3333
	N	3	3	3	3	2	3
"Basham,Randall:SOCW-6361-001-STRESS CRISIS AND COPING"	Mean	3.6667	3.5	4	4.1667	4.5	3.5
	N	6	6	6	6	6	6
"Bashyal,Aarti:CHEM-1442-102-GENERAL CHEMISTRY II"	Mean	3.6667	3.6667	3.6667	4.1111	3.8889	3.5556
	N	9	9	9	9	9	9
"Bashyal,Aarti:CHEM-1442-115-GENERAL CHEMISTRY II"	Mean	4.125	4.125	4.125	4.375	4.25	4
	N	8	8	8	8	8	8
"Bass,Ogden:LARC-5302-001-LAND DEVELOPMENT PLANNING & HONR-AR-4303-001-ADVANCED SPECIAL TOPICS"	Mean	4.5714	4.5714	4.5714	4.7143	4.5714	4.7143
	N	7	7	7	7	7	7
"Batchelor,Jolynne:SOCW-5304-003/004-GENERALIST MICRO PRACTICE"	Mean	4.25	4.25	4.25	4.25	4.25	4.25
	N	8	8	8	8	8	8
"Batchelor,Jolynne:SOCW-6303-002/003-POVERTY, INEQUALITY AND SOCIAL POLICY"	Mean	4.5	3.8	4.3	4	4.5	4.1
	N	10	10	10	8	10	10
"Bateman,Oliver:HIST-1311-004-HISTORY OF U.S."	Mean	4.2059	3.7353	3.8824	4.3824	3.9677	4.0909
	N	34	34	34	34	31	33
"Bateman,Oliver:HIST-3317-001-AMER LEGAL I"	Mean	4.5882	4.2353	4.2941	4.5882	4.4286	4.4118
	N	17	17	17	17	14	17
"Bates,Byran:MILS-3342-001-LEADERSHIP II"	Mean	4.6667	4.8333	4.8333	3.8333	5	5
	N	6	6	6	6	6	5
"Baxley,Susan:NURS-5328-004-THEORY & RSRCH APPL IN NURSING"	Mean	4.2857	4	4.5714	4.5714	4.5714	4.4286
	N	14	14	14	14	14	14
"Baxley,Susan:NURS-5328-005-THEORY & RSRCH APPL IN NURSING"	Mean	4.6667	4.4444	4.7778	4.6667	4.7778	4.6667
	N	9	9	9	9	9	9
"Bayram,Ayten:POLS-2311-006-GOVT OF U S"	Mean	4.8421	4.5789	4.7368	4.8421	4.5789	4.7368
	N	19	19	19	19	19	19
"Bayram,Ayten:POLS-4392-001-SPECIAL TOPICS"	Mean	4.6	4.7	4.7	4.9	4.6	4.8
	N	10	10	10	10	10	10
"Beach-Letendre,Joshuah:BIOL-3444-004-GENERAL MICROBIOLOGY"	Mean	4.5556	4.2222	4.4444	4.3333	4.5556	4.5556
	N	9	9	9	9	9	9
"Beach-Letendre,Joshuah:BIOL-3444-005-GENERAL MICROBIOLOGY"	Mean	4.7	4.8	4.7	4.7778	4.6	4.7
	N	10	10	10	9	10	10
"Beamon,Krystal:SOCI-1311-004-INTRO TO SOCIO"	Mean	4.5833	4.4167	4.5417	4.4167	4.381	4.4583
	N	24	24	24	24	21	24
"Beamon,Krystal:SOCI-3339-001-RACE SPORT AND MEDIA"	Mean	4.875	4.9375	4.9375	4.875	4.875	4.9375
	N	16	16	16	16	16	16
"Bechtel,Rudy:ADVT-4300-002-INTEGRATED MKTG COMM STUDIES"	Mean	2	2.125	2.2857	2	3	2.25
	N	7	8	7	8	8	8
"Bechtel,Rudy:ADVT-4301-001-ADVERTISING / IMC CAMPAIGNS"	Mean	2.8	2.8	3.2	2.4	3.2	2.6
	N	5	5	5	5	5	5
"Bechtel,Rudy:COMM-4318-001-MEDIA SALES AND PROMOTION"	Mean	2.875	2.875	3.375	2.875	3.625	3.625
	N	8	8	8	8	8	8
"Beck,Don:ART-4201-001-PORTFOLIO PRESENTATION"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Beck,Gyorgy:ART-2358-001 / 002 / 003-INTRO FILM/VIDEO"	Mean	3.5	3.625	4.125	3.875	3.625	3.625
	N	8	8	8	8	8	8
"Beck,Gyorgy:ART-2358-004-INTRO FILM/VIDEO"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Beck,Gyorgy:ART-3384-001-CINEMATOGRAPHY"	Mean	4.1429	3.8571	4.2857	4.1429	4.5714	4.4286
	N	7	7	7	7	7	7
"Beck,Gyorgy:ART-4349-001-VIDEO ART & NEW GENRES"	Mean	4	4.4	4.6	4	4.2	4.6
	N	5	5	5	5	5	5
"Becker,Eric:CSE-1105-001-INTRO COMPUTER SCI & ENGR"	Mean	4.6	4.2667	4.3333	4.6667	4.2143	4.2667
	N	15	15	15	15	14	15
"Becker,Eric:CSE-1105-002-INTRO COMPUTER SCI & ENGR"	Mean	4.7273	4.5455	4.4545	4.5455	4.6364	4.5455
	N	11	11	11	11	11	11
"Becker,Eric:CSE-1105-003-INTRO COMPUTER SCI & ENGR"	Mean	4.625	4.5	4.25	4.625	4.625	4.375
	N	8	8	8	8	8	8
"Becker,Eric:CSE-1310-002-INTRO COMPUTERS & PROGRAMMING"	Mean	5	4.5714	4.5714	4.8571	4.7143	5
	N	7	7	7	7	7	7
"Behan,Deborah:NURS-3321-600-NURSING RESEARCH"	Mean	2.7273	2.303	3.0909	3.5161	3.4194	2.5161
	N	33	33	33	31	31	31
"Behan,Deborah:NURS-4325-201-RN-BSN NURSING RESEARCH"	Mean	4.25	3.875	4.125	4.375	4.375	3.75
	N	8	8	8	8	8	8
"Behan,Deborah:NURS-4325-501-RN-BSN NURSING RESEARCH"	Mean	3.4583	2.75	3.5833	4.0417	3.9167	3.2174
	N	24	24	24	24	24	23
"Behan,Deborah:NURS-4325-502-RN-BSN NURSING RESEARCH"	Mean	3.8333	3.4615	3.6923	4.2308	4.5385	3.6667
	N	12	13	13	13	13	12
"Behan,Deborah:NURS-5301-002-RESEARCH IN NURSING"	Mean	3.5	3.3333	3.3333	3.8	3.2	3
	N	6	6	6	5	5	6
"Behan,Deborah:NURS-5301-004-RESEARCH IN NURSING"	Mean	4.8	4.8	5	4.8	5	5
	N	5	5	5	5	5	5
"Behbehani,Khosrow:BE-5366-001-PROCESS CONTROL IN BIOTECH"	Mean	4.6667	4.3333	4.6667	4.3333	4	4
	N	3	3	3	3	3	3
"Bell,Bradley:ARCH-4334-001-DIGITAL FABRICATIONS II & ARCH-5347-001-DIGITAL TECHTONICS (2132-1-0303)"	Mean	4.8333	4.8333	4.8333	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Bell,Bradley:ARCH-5672-001/002/003-ADV DSGN STUDIO COMPREHENSIVE"	Mean	4.7778	4.4444	4.4444	4.4444	4.5	4.6667
	N	18	18	18	18	18	18
"Bell,Myrtle:MANA-4326-001-DIVERSITY IN ORGANIZATIONS"	Mean	4.6667	4.6667	4.6667	5	4.3333	4.3333
	N	3	3	3	3	3	3
"Bell,Myrtle:MANA-4326-002-DIVERSITY IN ORGANIZATIONS"	Mean	5	5	5	5	4.8	5
	N	5	5	5	5	5	5
"Belli,Melia:ART-2300-001-METH ART HIST"	Mean	4.5	4	4.75	4.75	4.75	5
	N	4	4	4	4	4	3
"Belli,Melia:ART-4307-001-SPECIAL TOPICS IN ASIAN ART"	Mean	4.2	4.2	3.8	4.3	4.2	4.2
	N	10	10	10	10	10	10
"Belli,Melia:ART-4396-002-SPEC STUDY ART HISTORY"	Mean	3.4	3.4	3.4	3.4	3.4	3.4
	N	5	5	5	5	5	5
"Belli,Melia:ART-5360-002-TOPS IN HISTORY ART & DESIGN"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Benero,Paul:ART-1301-001-ART APPRECIATION"	Mean	4.5455	4.5455	4.6818	4.5	4.25	4.6818
	N	22	22	22	22	20	22
"Benson,George:MANA-5334-001-ORGANIZATION CONSULTING"	Mean	4.6	4.6	4.6	4.4	4.8	4.6
	N	5	5	5	5	5	5
"Benson,George:MANA-5338-001-CAREERS & MANAGING CHG ENVIRMN"	Mean	4.6667	4.5	4.3333	5	4	4.3333
	N	6	6	6	6	6	6
"Benson,Tyler:KINE-1400-008-INTRO TO EXERCISE SCIENCE"	Mean	4	4	4	4	4.6667	4.3333
	N	3	3	3	3	3	3
"Benson,Tyler:KINE-1400-009-INTRO TO EXERCISE SCIENCE"	Mean	5	5	4.75	5	4.25	5
	N	4	4	4	4	4	4
"Benson,Tyler:KINE-3315-010-PHYSIOLOGY OF EXERCISE"	Mean	4	4	4	5	4	4
	N	1	1	1	1	1	1
"Bernard,David:BIOL-3345-001-HUMAN PHYSIOLOGY"	Mean	3.4	3.3143	3.6176	4.3714	3.8857	3.2286
	N	35	35	34	35	35	35
"Bernard,David:BIOL-3442-001-PRINCIPLES ANIMAL PHYSIOLOGY"	Mean	3.7391	3.6087	3.8261	4.087	3.7727	3.2609
	N	23	23	23	23	22	23
"Betancourt Segura,Mara:BEEP-4306-004-FAM LITERACY & 2ND LANG ACQUIS"	Mean	3.5556	3.6667	4.3333	3.7778	4.1429	3.6667
	N	9	9	9	9	7	9
"Betran,Esther:BIOL-4307-001 / BIOL-5336-001-MOLECULAR EVOLUTION"	Mean	4.6667	3.6667	4.3333	5	5	4.6667
	N	6	6	6	6	6	6
"Bezboruah,Karabi:URPA-5350-001-INTRO TO PUBLIC ADMINISTRATION"	Mean	4	4.0833	4.5833	4.3333	4.4545	4.1667
	N	12	12	12	12	11	12
"Bezboruah,Karabi:URPA-5355-001-NON-PROFIT INSTITUTIONS"	Mean	4.375	4.625	4.875	5	5	4.875
	N	8	8	8	8	8	8
"Bhan,Arunoday:CHEM-4242-101-LAB TECHNIQUES IN BIOCHEMISTRY"	Mean	4.5	3	4.5	3.5	4.5	5
	N	2	1	2	2	2	2
"Bhawal,Ruchika:CHEM-2285-002-QUANTITATIVE CHEMISTRY LAB"	Mean	4.25	4.25	4.5	4.5	4	4.25
	N	4	4	4	4	4	4
"Bhawal,Sumit:CHEM-4346-101-ADVANCED SYNTHETIC METHODS"	Mean	4.5714	4.5714	4.5714	4.5714	4.5714	4.5714
	N	7	7	7	7	7	7
"Bing,Robert:CRCJ-2334-002-INTRO CRJU SYS"	Mean	4.5	4	4.6667	4.4	4.8	4.5
	N	6	6	6	5	5	6
"Bing,Robert:CRCJ-2334-004-INTRO CRJU SYS"	Mean	4.4	4.3	4.5	4.4	4.4	4.3
	N	10	10	10	10	10	10
"Bing,Robert:CRCJ-3380-600-RACE CRIME AND JUSTICE"	Mean	4.8333	4.8333	4.6667	4.3333	4.6667	4.6667
	N	6	6	6	6	6	6
"Bishop,Linda:COMS-1301-017-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.6667	4.4444	4.7778	4.7778	4.6667	4.4444
	N	9	9	9	9	9	9
"Bishop,Linda:COMS-2302-004-PROFESSIONAL TECHNICAL COMM"	Mean	3.6	3.2	3.3	3.9	4	2.6
	N	10	10	10	10	9	10
"Bishop,Linda:COMS-2302-011-PROFESSIONAL TECHNICAL COMM"	Mean	3.8889	3.7222	3.8333	4.3333	4.1765	3.4444
	N	18	18	18	18	17	18
"Bishop,Linda:COMS-2302-012-PROFESSIONAL TECHNICAL COMM"	Mean	4.25	3.65	3.95	4.25	4.2222	3.1053
	N	20	20	20	20	18	19
"Bitenc,Sandra:ACCT-4325-001-GOVERNMENTAL ACCOUNTING & ACCT-5320-001-GOVT & NONPROFIT ACCOUNTING"	Mean	3.7778	3.8889	4.5556	3.8889	4.6667	3.7778
	N	9	9	9	9	9	9
"Bitenc,Sandra:ACCT-5320-002-GOVT & NONPROFIT ACCOUNTING"	Mean	5	5	4.6667	5	5	5
	N	3	3	3	3	3	3
"Bitenc,Sandra:HCAD-5306-050-MANAGERIAL ACCOUNTING FOR HEALTH CARE INDUSTRY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Black,Beverly:SOCW-5301-003 / 004-HUMAN BEHAV & SOCIAL ENV I"	Mean	4.0625	4.0625	4.375	4.5	4.4375	3.8125
	N	16	16	16	16	16	16
"Black,Beverly:SOCW-6310-001-SEMINAR IN GENDER ISSUES"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Blackburn,Donald:ECON-3301-001-THE ECONOMICS OF HEALTH"	Mean	3.8824	3.1765	3.4118	4.1176	4.0667	3.6471
	N	17	17	17	17	15	17
"Blackburn,Donald:ECON-3303-004-MONEY & BANKING"	Mean	3.8462	3.5385	3.6923	4.1538	3.8462	3.9231
	N	13	13	13	13	13	13
"Blaisdell,Teriann:ENGL-2338-005-TECHNICAL WRITING"	Mean	3.6364	3.8182	4.1818	4.1818	4.1818	3.8182
	N	11	11	11	11	11	11
"Blaisdell,Teriann:ENGL-2338-006-TECHNICAL WRITING"	Mean	4	4	4.5	5	3	3.5
	N	2	2	2	2	2	2
"Blakeney,Amy:SOCW-6326-001-DIRECT PRACT WITH CHILD & FAM"	Mean	5	4.5	4.625	4.75	4.5714	4.7143
	N	8	8	8	8	7	7
"Blakey,Joan:SOCW-6348-001-SEM IN QUALITATV RSRCH MTHDS"	Mean	4.6667	5	5	5	5	5
	N	3	3	3	3	3	3
"Blount,April:COMS-1301-006-FUNDAMENTALS PUBLIC SPEAKING"	Mean	3.75	3.75	3	4.5	3.5	3.5
	N	4	4	4	4	4	4
"Blount,April:COMS-1301-009-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.8571	4.1429	4.2857	4.8571	4.4286	4
	N	7	7	7	7	7	7
"Blount,April:COMS-1301-012-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.8333	4.6667	4.6667	5	4.6667	4.5
	N	6	6	6	6	6	6
"Blount,April:COMS-1301-013-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.2	4.2	4.2	4.6	4.2	4
	N	5	5	5	5	5	5
"Blount,April:COMS-1301-015-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.6	4.4	4.2	4.6	4.4	4.4
	N	5	5	5	5	5	5
"Boardman,Bonnie:BE-1104-001 & IE-1104-001-INTRODUCTION TO ENGINEERING (2132-1-0344)"	Mean	1	1	1	1	1	1
	N	1	1	1	1	1	1
"Boardman,Bonnie:IE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4	3.8	3.6	4.2	4.2	3.8
	N	5	5	5	5	5	5
"Boardman,Bonnie:IE-1105-001-INTRO INDUSTRIAL ENGR LAB"	Mean	4.2667	4.2667	4.4	4.4667	4.3571	4.4
	N	15	15	15	15	14	15
"Boardman,Bonnie:IE-2305-001-COMPUTER APPLICATIONS IN IE"	Mean	4.1364	3.7727	4.1364	4.2727	4.2381	4.0952
	N	22	22	22	22	21	21
"Bodiford,Nelli:CHEM-1465-101-CHEMISTRY FOR ENGINEERS"	Mean	4.3333	4.0667	3.9333	4.2667	3.8462	4.3571
	N	15	15	15	15	13	14
"Bodiford,Nelli:CHEM-1465-107-CHEMISTRY FOR ENGINEERS"	Mean	4.3846	4.0769	4.2308	4.3077	4.2727	4.25
	N	13	13	13	13	11	12
"Bogard,Rickey:MUSIC PRIVATE LESSONS (2132-00021)"	Mean	4.75	4.75	5	5	4.5	5
	N	4	4	4	4	4	4
"Bokka,Apparao:CHEM-1442-105-GENERAL CHEMISTRY II"	Mean	4.5	4.3571	4.2143	4.4286	4.2308	4.3571
	N	14	14	14	14	13	14
"Bokka,Apparao:CHEM-1442-106-GENERAL CHEMISTRY II"	Mean	4.4286	4.4286	4.4286	4.7143	4.1667	4.5
	N	14	14	14	14	12	12
"Bold,Lashaunn:SOCW-2311-001-INTRO SOC WORK"	Mean	5	5	4.75	4.75	4.75	4.875
	N	8	8	8	8	8	8
"Bold,Lashaunn:SOCW-2311-004-INTRO SOC WORK"	Mean	4.4286	4.7143	4.7143	4.7143	4.7143	4.7143
	N	7	7	7	7	7	7
"Boles,Rebecca:ARCH-2552-004-BASIC DESIGN AND DRAWING II"	Mean	3	2.7778	4.2222	3.7778	4.4444	2.8889
	N	9	9	9	9	9	9
"Boles,Rebecca:INTD-3322-001-INTERIOR MATERIALS II"	Mean	4.2	4.6	4.6	4.8	4.6	4.8
	N	5	5	5	5	5	5
"Boles,Rebecca:INTD-4332-001-PROFESSIONAL PRAC: INTR DSGN"	Mean	4.7143	4.4286	4.8571	4.8571	4.8571	4.4286
	N	7	7	7	7	7	7
"Bolsterli,Eric:HIST-3373-001-US ECO 1860-PR"	Mean	4.6667	4.5556	4.2222	4.2222	4.7143	4.6667
	N	9	9	9	9	7	9
"Bolton,Kristin:SOCW-2311-006-INTRO SOC WORK"	Mean	3.5	4.1429	4.5714	3.8333	4.1429	3.7143
	N	6	7	7	6	7	7
"Bolton,Kristin:SOCW-3305-002-SOCIAL WORK RESEARCH"	Mean	4.4	4	4.2	4.6	4.6	4
	N	5	5	5	5	5	5
"Bonde,Richard:PHYS-1444-010-GENERAL TECHNICAL PHYSICS II"	Mean	4.5	5	5	5	5	5
	N	2	2	2	2	2	2
"Bonde,Richard:PHYS-1444-012-GENERAL TECHNICAL PHYSICS II"	Mean	5	4.75	5	5	5	5
	N	4	4	4	4	4	4
"Borougerdi,Bradley:HIST-4388-003-SEL TOP HIST"	Mean	4.25	4.25	4.5	4	4.1429	4.25
	N	8	8	8	8	7	8
"Boswell,Bill:ARCH-3554-001-DESIGN STUDIO: ARCHITECTURE II"	Mean	3.4	3.4	3.4	4.6	2.4	3.6
	N	5	5	5	5	5	5
"Bowling,Alan:AE-5338-001 / ME-5338-001-ANALYTICAL /COMPUTATION DYNAMI and MAE-4301-003-SPEC TOPICS MECH & AERO ENGRAE"	Mean	4.1429	4.4286	4.7143	4	4.5	4.2857
	N	7	7	7	7	6	7
"Bowling,Alan:MAE-1312-002-ENGINEERING STATICS"	Mean	3.6667	2.7143	3.3333	3.8571	3.3158	2.9
	N	21	21	21	21	19	20
"Bowman,Theron:CRCJ-5319-001-ISSUES IN POLICING"	Mean	4.6667	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Boyd,Erin:PSYC-2443-002-RESEARCH DESIGN & STATISTICS I"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Boyd,Jeanean:NURS-3645-500-RN-BSN PROFESSIONAL NURSING"	Mean	4.4545	4.5758	4.4848	4.6061	4.3333	4.5455
	N	33	33	33	33	33	33
"Boyd,Jeanean:NURS-3645-503-RN-BSN PROFESSIONAL NURSING"	Mean	4.6842	4.6053	4.5526	4.6579	4.4	4.3947
	N	38	38	38	38	35	38
"Boyd,Jeanean:NURS-3645-504-RN-BSN PROFESSIONAL NURSING"	Mean	4.6364	4.6364	4.6364	4.7273	4.5455	4.5455
	N	11	11	11	11	11	11
"Boyd,Jeanean:NURS-4585-502-RN-BSN CAPSTONE"	Mean	4.3111	4.3409	4.3778	4.3636	4.4595	4.3171
	N	45	44	45	44	37	41
"Boyea,Brent:POLS-2312-002-STATE & LOCAL GOVT"	Mean	4.4146	3.8293	4.025	4.5854	4.1389	4.075
	N	41	41	40	41	36	40
"Boyea,Brent:POLS-4331-001-US CONST STRUC"	Mean	4.4762	4.4286	4.5238	4.6	4.15	4.4762
	N	21	21	21	20	20	21
"Boyles,Amanda:BIOL-1442-011-STRUC & FUNC OF ORGANISMS"	Mean	3.8333	3.6667	3.8	4.1667	4.3333	3.6667
	N	6	6	5	6	6	6
"Boyles,Amanda:BIOL-1442-015-STRUC & FUNC OF ORGANISMS"	Mean	4.7143	4.7143	4.8571	4.7143	5	5
	N	7	7	7	7	7	7
"Braun,Eric:MAE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	4	3.8571	4	4.2143	3.6923	3.8667
	N	14	14	14	14	13	15
"Braun,Eric:MAE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4.0833	3.4167	3.75	3.9167	3.9091	3.5833
	N	12	12	12	12	11	12
"Braun,Eric:MAE-1104-003-INTRODUCTION TO ENGINEERING"	Mean	4.2667	3.5625	4.125	4.375	4.0667	3.9375
	N	15	16	16	16	15	16
"Braun,Eric:MAE-3360-002-ENGINEERING ANALYSIS"	Mean	4.5517	4.5517	4.3448	4.8621	4.5185	4.5172
	N	29	29	29	29	27	29
"Bredow,Jonathan:EE-3407-101-ELECTROMAGNETICS"	Mean	1.75	2	3.25	2.25	2.75	2.25
	N	4	4	4	4	4	4
"Bredow,Jonathan:EE-3407-102-ELECTROMAGNETICS"	Mean	4.5	4	4.5	4	1	4
	N	2	2	2	2	1	1
"Bredow,Jonathan:EE-3407-103-ELECTROMAGNETICS"	Mean	3.5	3.75	4.25	3.75	3.6667	4
	N	4	4	4	4	3	4
"Breuer,Kimberly:HIST-1311-700 and 900 HISTORY OF THE UNITED STATES"	Mean	3.8378	3.1622	3.7027	3.8286	3.8788	2.9714
	N	37	37	37	35	33	35
"Breuer,Kimberly:HIST-2301-004-HISTORY OF CIVILIZATION"	Mean	3.2308	3	3.3846	3.4615	3.7692	2.8462
	N	13	13	13	13	13	13
"Breuer,Kimberly:HIST-2302-003-HIST OF CIVILIZATION"	Mean	3.6667	3.1111	3.8889	4.125	4.1111	3.3333
	N	9	9	9	8	9	9
"Breuer,Kimberly:HIST-3367-001-AMER INDIAN HIS"	Mean	4.6	4.2	4.6	4.4	4.4	4.4
	N	5	5	5	5	5	5
"Brewster,Billy:ACCT-4318-001-AUDITING"	Mean	4.6	4.44	4.48	4.6	4.2083	4.64
	N	25	25	25	25	24	25
"Brewster,Billy:ACCT-6310-001-SEMINAR IN ACCT RESEARCH II"	Mean	4.5	4.5	4.5	3.75	4.25	4.5
	N	4	4	4	4	4	4
"Brezeale,Darin:CSE-1320-001-INTERMEDIATE PROGRAMMING"	Mean	4	3.5	4.1667	4.6667	4.6667	3.6667
	N	6	6	6	6	6	6
"Brezeale,Darin:CSE-1320-003-INTERMEDIATE PROGRAMMING"	Mean	3.9	3.7	3.8	4.7	4.4	3.4
	N	10	10	10	10	10	10
"Brezeale,Darin:CSE-3392-001-SPECIAL TOPICS"	Mean	4.6667	4.5	4.3333	4.8333	4.6	4.8333
	N	6	6	6	6	5	6
"Bridges,Nancy:BEEP-4302-002-IMPL EC-6 DUAL LANG CURRICULUM"	Mean	4.0588	3.5625	4.0588	4	4.1875	3.9412
	N	17	16	17	17	16	17
"Briggs,Elten:MARK-3321-008-PRINCIPLES OF MARKETING"	Mean	4.15	3.6	3.8	4.6	4.2222	3.9
	N	20	20	20	20	18	20
"Briggs,Elten:MARK-5311-001-MARKETING"	Mean	4.4	4.8	4.6	4.9	4.6667	4.5
	N	10	10	10	10	9	10
"Brittain,Michael:ENGL-2329-013-AMERICAN LITERATURE"	Mean	4.0625	4	4.125	4.125	4.3125	4.0625
	N	16	16	16	16	16	16
"Bronson,Maryhelen:KINE-1315-001-TEACHING PHYSICAL EDUCTION"	Mean	4.7857	4.7857	4.7143	4.9286	4.5185	4.8929
	N	28	28	28	28	27	28
"Brown,Alvin:URPA-5358-001-ETHICS IN THE PUBLIC SERVICE"	Mean	3.75	3.375	3.5	3.5714	4.25	3.625
	N	8	8	8	7	8	8
"Brown,Amber:EDUC-5395-005-DESIGNING CLASSROOM RESEARCH"	Mean	4	3.875	3.875	4.375	4	4.125
	N	8	8	8	8	8	8
"Brown,Amber:EDUC-5397-002-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	4.6667	4.4444	4.5556	4.7778	4.6667	4.5556
	N	9	9	9	9	9	9
"Brown,Amber:EDUC-5397-105-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	4.2857	4	3.8571	3.8571	4	3.7143
	N	7	7	7	7	7	7
"Brown,Amber:ELED-5320-001-Inst Strat Social Stud Arts"	Mean	4.5	5	4.5	5	4.5	5
	N	2	2	2	2	2	2
"Brown,Lee:MANA-4321-002-INTERNATIONAL MANAGEMENT"	Mean	4.7273	4.6364	4.6364	4.8182	4.7273	4.9091
	N	11	11	11	11	11	11
"Brown,Tara:ECON-2306-001-PRINCIPLES OF MICROECONOMICS"	Mean	4.6	4.8	4.4	4.6	4.8	4.4
	N	5	5	5	5	5	5
"Brown,Tara:ECON-2306-004-PRINCIPLES OF MICROECONOMICS"	Mean	4.2381	3.9524	4.0952	4.1905	4.1429	3.8095
	N	21	21	21	21	21	21
"Brown,Tara:ECON-2306-005-PRINCIPLES OF MICROECONOMICS"	Mean	4.4375	4.4375	4.25	4.5625	4.1333	4.5
	N	16	16	16	16	15	16
